Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Total Assets,"2,074.63","1,623.76","1,606.03","1,554.26","1,490.7","1,544.7","1,540.51","1,576.12","1,627.89","1,533.65",Upgrade
Total Liabilities,1.62,2.14,1.88,1.73,0.64,1.15,0.62,0.27,0.38,0.78,Upgrade
Common Stock,"2,124.01","1,654.33","1,638.06","1,593.17","1,529.52","1,577.01","1,581.91","1,610.53","1,656.68","1,545.41",Upgrade
Comprehensive Income,-51.01,-32.71,-33.9,-40.63,-39.46,-33.46,-42.03,-34.68,-29.17,-12.53,Upgrade
Shareholders' Equity,"2,073","1,621.62","1,604.16","1,552.54","1,490.06","1,543.55","1,539.89","1,575.85","1,627.51","1,532.88",Upgrade
Total Liabilities and Equity,"2,074.63","1,623.76","1,606.03","1,554.26","1,490.7","1,544.7","1,540.51","1,576.12","1,627.89","1,533.65",Upgrade
Book Value Per Share,20.65,16.42,16.68,16.17,15.46,16.49,16.24,16.12,16.75,16.65,Upgrade
