Year,2022,2021,2020
Cash & Equivalents,0.01,0.22,1
Cash & Cash Equivalents,0.01,0.22,1
Cash Growth,-93.86%,-77.68%,-
Other Current Assets,0.07,0.04,0.1
Total Current Assets,0.09,0.26,1.1
Long-Term Investments,21.32,92.46,91.54
Total Long-Term Assets,21.32,92.46,91.54
Total Assets,21.41,92.72,92.64
Accounts Payable,2.15,1.03,0.07
Current Debt,2.21,0.98,0
Total Current Liabilities,4.37,2.01,0.07
Other Long-Term Liabilities,0.02,0.2,1.16
Total Long-Term Liabilities,0.02,0.2,1.16
Total Liabilities,4.39,2.21,1.23
Total Debt,2.21,0.98,0
Debt Growth,127.09%,-,-
Common Stock,5.33,0,0.45
Retained Earnings,-9.64,-1.95,-0.57
Shareholders' Equity,-4.3,-1.95,-0.12
Total Liabilities and Equity,0.09,0.26,1.11
Net Cash / Debt,-2.2,-0.75,1
Net Cash Per Share,-0.37,-0.06,0.34
Working Capital,-4.28,-1.75,1.03
Book Value Per Share,-0.73,-0.17,-0.04
