Year,2022,2021,2020
Cash & Equivalents,"3,545","2,494","2,101"
Cash & Cash Equivalents,"3,545","2,494","2,101"
Cash Growth,42.14%,18.71%,-
Receivables,"2,550","6,956","6,829"
"Property, Plant & Equipment",68,48,21
Goodwill and Intangibles,308,313,320
Total Assets,"14,087","25,643","22,471"
Accounts Payable,"2,653","10,079","10,051"
Total Liabilities,"2,670","11,240","10,523"
Total Debt,0,461,0
Common Stock,"9,271","9,715","11,948"
Retained Earnings,84,0,-
Comprehensive Income,153,156,0
Shareholders' Equity,"9,508","9,871","11,948"
Total Liabilities and Equity,"12,178","21,111","22,471"
Net Cash / Debt,"3,545","2,033","2,101"
Net Cash / Debt Growth,74.37%,-3.24%,-
Book Value Per Share,24.65,25.59,-
