Year,2022,2021,2020,2019
Cash & Equivalents,8,21,26.83,13.45
Cash & Cash Equivalents,8,21,26.83,13.45
Cash Growth,-61.88%,-21.74%,99.51%,-
"Property, Plant & Equipment",14.86,15.35,16.74,17.59
Goodwill and Intangibles,1.51,1.58,1.64,1.71
Total Assets,386.29,378.95,373.8,347.55
Total Liabilities,348.97,335.47,343.91,319.32
Total Debt,29.19,20.2,31.46,34.9
Debt Growth,44.47%,-35.78%,-9.85%,-
Common Stock,21.28,22.78,11.05,11.32
Retained Earnings,22.51,21.67,20.26,18.57
Comprehensive Income,-6.47,-0.97,-1.42,-1.66
Shareholders' Equity,37.33,43.48,29.89,28.23
Total Liabilities and Equity,386.29,378.95,373.8,347.55
Net Cash / Debt,-21.18,0.79,-4.63,-21.45
Book Value Per Share,15.78,17.69,20.23,-
