Year,2022,2021,2020
Cash & Equivalents,0.37,0.03,0.47
Cash & Cash Equivalents,0.37,0.03,0.47
Cash Growth,1381.78%,-94.67%,-
Other Current Assets,0,0.47,0.21
Total Current Assets,0.37,0.49,0.67
Long-Term Investments,104.18,500.03,500
Other Long-Term Assets,0,0,0.2
Total Long-Term Assets,104.18,500.03,500.2
Total Assets,104.55,500.53,500.88
Accounts Payable,0.04,0,0.41
Current Debt,3.01,0.86,0
Other Current Liabilities,2.42,1.16,0.04
Total Current Liabilities,5.47,2.02,0.46
Other Long-Term Liabilities,2.35,15.36,26.01
Total Long-Term Liabilities,2.35,15.36,26.01
Total Liabilities,7.81,17.38,26.46
Total Debt,3.01,0.86,0
Debt Growth,251.21%,-,-
Common Stock,0,0.28,0
Retained Earnings,-6.42,-17.13,-25.59
Shareholders' Equity,-6.42,-16.85,-25.59
Total Liabilities and Equity,1.39,0.53,0.88
Net Cash / Debt,-2.64,-0.83,0.47
Working Capital,-5.1,-1.52,0.22
Book Value Per Share,-0.10,-0.27,-2.16
