Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,85.16,96.19,198.15,79.87,0.56,0.05,0.05
Cash & Cash Equivalents,85.16,96.19,198.15,79.87,0.56,0.05,0.05
Cash Growth,-11.46%,-51.46%,148.10%,14161.10%,1120.37%,0%,-
Receivables,48.32,125.07,95.27,44.89,0,0,0
Other Current Assets,-,-,-,-124.74,0,0.07,-
Total Current Assets,-,-,-,0.01,0.56,0.12,-
"Property, Plant & Equipment",17.1,5.41,7.87,8.87,0,0,0
Long-Term Investments,-,-,-,291.76,277.97,0,-
Goodwill and Intangibles,32.9,35.22,37.55,45.05,0,0,0
Other Long-Term Assets,-,-,-,-53.92,0,0,-
Total Long-Term Assets,-,-,-,291.76,277.97,0,-
Total Assets,488.93,581.62,632.28,373.16,278.53,0.12,0.1
Accounts Payable,0,0,0,0,0.1,0.04,0.04
Total Liabilities,582.94,637.43,599.35,586.99,2.88,0.07,0.05
Total Debt,403.15,390.52,335.16,448.5,2.75,0,0
Debt Growth,3.23%,16.52%,-25.27%,16209.09%,-,-,-
Common Stock,0.02,1.52,2.72,-308.44,4.81,0.05,0.05
Retained Earnings,-23.93,-26.22,-29.83,0,0.19,-0.01,-0.01
Comprehensive Income,4.1,-1.01,-2.23,-6.85,0,0,0
Shareholders' Equity,-19.82,-25.71,-29.34,-315.29,5,0.04,0.04
Total Liabilities and Equity,563.12,611.72,570.01,271.69,7.88,0.12,0.1
Net Cash / Debt,-317.98,-294.33,-137.01,-368.63,-2.19,0.05,0.05
Net Cash Per Share,-1.69,-1.56,-0.74,-,-,0.01,0.01
Book Value Per Share,-0.45,-0.59,-0.73,-8.79,0.16,0.01,0.01
