Metrics,2022-09-30,2022-03-31,2021-03-31,2020-03-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,-,-,-,-,-10.4,-7.16,2.85,-9.59,-17.4,29.68,17.05,26.87,12.67,8.89,4.23,1.59,1.43
Other Operating Activities,-,-,-,-,10.4,7.16,-2.85,9.59,17.4,-29.68,-17.05,-26.87,-12.67,-8.89,-4.23,-1.59,-1.43
