Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,0.18,1.06,1.03,1.08,0.82,1.18,1.16,0.67,1.07,1.38,0.67,-1.29,0.84,0.93,0.85
Depreciation & Amortization,0.28,0.37,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.37,0.31,0.18,0.17,0.16
Share-Based Compensation,0.57,0.56,0.59,0.35,0.11,0.11,0.11,0.1,0.01,0,0,0,0,0,0
Other Operating Activities,-0.65,-1.68,0.67,-0.45,-0.12,-0.21,-0.48,-0.43,0.7,-3.68,-1.98,-0.64,-0.46,-0.75,-0.14
Operating Cash Flow,0.38,0.31,2.6,1.3,1.12,1.37,1.08,0.63,2.07,-2.02,-0.94,-1.62,0.56,0.35,0.87
Operating Cash Flow Growth,-66.37%,-77.47%,141.32%,106.87%,-45.90%,-,-,-,272.66%,-,-,-,-,-,-
Capital Expenditures,0.25,1.69,0,-0.21,-0.17,-0.2,-0.26,0.94,-0.22,2,0.12,-0.28,-0.41,-0.41,-0.71
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,48.85,0,0,0
Change in Investments,12.35,-18.56,3.08,-43.54,-39.95,-78.91,-34.6,2.38,21,14.27,-21.17,-15.89,-31.8,-3.57,-12.73
Other Investing Activities,-0.3,-,-,-0.9,-,-,-2,-20,-,-,-,-,-,-,-
Investing Cash Flow,12.3,-16.87,3.08,-44.65,-40.12,-79.11,-36.86,-16.68,20.78,16.27,-21.05,32.68,-32.21,-3.98,-13.44
Dividends Paid,-0.4,-0.41,-0.42,-0.43,-0.17,0,-4.55,0,0,0,-1.89,0,0,0,-1.98
Share Issuance / Repurchase,-7.18,-3.98,-4.58,-8.79,-0.29,0,0,0,118.7,0,0,0,0,0,0
Debt Issued / Paid,-21.65,5.64,-11.36,45.19,-13.63,0.72,-8.67,0.3,0.35,0.15,-24.82,-12.36,5.94,6.61,-1.78
Other Financing Activities,17.29,15.32,-6.37,-14.71,50.7,9.7,8.22,4.92,-48.6,15.78,21.86,44.06,9.76,18.13,5.17
Financing Cash Flow,-11.94,16.58,-22.73,21.27,36.62,10.42,-5,5.22,70.45,15.93,-4.85,31.7,15.7,24.73,1.41
Net Cash Flow,0.74,0.02,-17.05,-22.08,-2.38,-67.32,-40.77,-10.84,93.3,30.18,-26.83,62.76,-15.95,21.1,-11.17
Free Cash Flow,0.62,2,2.6,1.09,0.95,1.16,0.82,1.57,1.85,-0.02,-0.82,-1.9,0.14,-0.06,0.16
Free Cash Flow Growth,-34.49%,71.65%,216.69%,-30.46%,-48.65%,-,-,-,1186.11%,-,-,-,-,-,-
Free Cash Flow Margin,10.92%,28.80%,39.86%,16.49%,15.13%,18.79%,13.69%,26.43%,31.73%,-0.27%,-14.70%,-37.60%,3.66%,-1.65%,4.27%
Free Cash Flow Per Share,0.04,0.14,0.18,0.07,0.06,0.08,0.05,0.10,0.12,-0.00,-0.05,-,-,-,-
