Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,126.2,169.61,206.94,104.96,-71.2,-476.98,-697.75,-480.44,-494.46,-219.37,-219.59,-174.37
Other Operating Activities,-126.2,-169.61,-206.94,-104.96,71.2,476.98,655.75,370.16,403.8,139.32,0.02,120.73
