Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-0.41,-0.23,0.21,-0.04,-0.12,-0.27,-0.13,-0,-0,-0,-0,0,-0
Other Operating Activities,-0.21,-0.1,-0.34,-0.1,-0.15,0.22,-0.28,-,-0,0,-,-,-0
Operating Cash Flow,-0.62,-0.33,-0.14,-0.13,-0.27,-0.05,-0.41,-0,-0,0,-0,0,-0
Change in Investments,0.32,93.71,0,0,0,0,0,0,0,0,0,0,0
Investing Cash Flow,0.32,93.71,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-93.42,0,0,0,0,118.47,0,0,0,0,0,0
Debt Issued / Paid,0.2,0,0,0,0,0,-0.2,0,0.2,0,0,0,0
Other Financing Activities,0.14,-0.14,-,-,-,-,-0.42,-0.07,-,-0,-,-,-
Financing Cash Flow,0.34,-93.55,0,0,0,0,117.84,-0.07,0.2,-0,0,0,0
Net Cash Flow,0.04,-0.18,-0.14,-0.13,-0.27,-0.05,0.71,-0.07,0.2,-0,-0,0,-0
Free Cash Flow,-0.62,-0.33,-0.14,-0.13,-0.27,-0.05,-0.41,-0,-0,0,-0,0,-0
Free Cash Flow Per Share,-0.11,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04,-,-,-,-,-,-
