Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,1.62,1.54,0.82,-0.11,-0.18,-0,0
Other Operating Activities,-1.89,-1.18,-0.88,0.05,-1.34,0,-
Operating Cash Flow,-0.27,0.36,-0.06,-0.06,-1.53,0,0
Operating Cash Flow Growth,-,1775390.00%,-,-,-,-,-
Change in Investments,0,0,0,0,-191.65,0,0
Other Investing Activities,-,-,-,-,-0,-,-
Investing Cash Flow,0,0,0,0,-191.65,0,0
Share Issuance / Repurchase,0,0,0,0,189.75,0,0
Debt Issued / Paid,0.3,0,0,0,-0.21,0,0
Other Financing Activities,-,-0.41,-,0,4.03,-,-
Financing Cash Flow,0.3,-0.41,0,0,193.58,0,0
Net Cash Flow,0.03,-0.06,-0.06,-0.06,0.4,0,0
Free Cash Flow,-0.27,0.36,-0.06,-0.06,-1.53,0,0
Free Cash Flow Growth,-,1775390.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,0.01,-0.00,-0.00,-0.08,-,-
