Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-2.59,0.49,4.16,1.46,4.29,-0.82,-0.08
Other Operating Activities,3.75,-0.83,-4.43,-1.93,-3.79,-0.65,-0.04
Operating Cash Flow,1.17,-0.33,-0.27,-0.47,0.51,-1.47,-0.12
Operating Cash Flow Growth,130.52%,-,-,-,-,-,-
Change in Investments,-2.32,0,0,0,0,0,0
Other Investing Activities,0.42,-,-,-,-,-,-
Investing Cash Flow,-1.91,0,0,0,0,0,0
Share Issuance / Repurchase,0,-190.01,0,0,-2.34,235.1,0.03
Debt Issued / Paid,0.8,0.46,0,0,0,-0.19,0.19
Other Financing Activities,-,-,-,-,1.69,-2.34,-
Financing Cash Flow,0.8,-189.55,0,0,-0.64,232.57,0.21
Net Cash Flow,0.05,-0.29,-0.27,-0.47,-0.13,1.1,0.1
Free Cash Flow,1.17,-0.33,-0.27,-0.47,0.51,-1.47,-0.12
Free Cash Flow Growth,130.52%,-,-,-,-,-,-
Free Cash Flow Per Share,0.05,-0.01,-0.01,-0.02,0.04,-0.15,-0.02
