Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,1.23,0.58,-0.02,-0.34,-0.12
Other Operating Activities,-1.33,-0.79,-0.07,-0.37,0.08
Operating Cash Flow,-0.1,-0.21,-0.09,-0.71,-0.03
Net Cash Flow,-0.1,-0.21,-0.09,-0.71,1.53
Free Cash Flow,-0.1,-0.21,-0.09,-0.71,-0.03
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.02,-0.00
