Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,-0.14,-0.22,0.28,-0.09,-0.1,-
Other Operating Activities,0.35,0.66,0.05,0.04,-0.3,-
Operating Cash Flow,0.21,0.45,0.33,-0.05,-0.4,-
Change in Investments,-0.5,-0.7,-0.37,-0.1,-82.53,-
Investing Cash Flow,-0.5,-0.7,-0.37,-0.1,-82.53,-
Share Issuance / Repurchase,0,0,0,0,83.88,-
Financing Cash Flow,0,0,0,0,83.88,-
Net Cash Flow,-0.29,-0.25,-0.04,-0.14,0.96,-
Free Cash Flow,0.21,0.45,0.33,-0.05,-0.4,-
Free Cash Flow Per Share,0.02,0.04,0.03,-0.01,-0.09,-
