Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,1.74,1.14,-0.21,-0.42,-0.19
Other Operating Activities,-2.73,-0.61,0.15,0.32,0.19
Operating Cash Flow,-0.99,0.54,-0.06,-0.1,-
Change in Investments,0.75,-0.68,-0.08,0,-
Investing Cash Flow,0.75,-0.68,-0.08,0,-
Net Cash Flow,-0.23,-0.14,-0.14,-0.1,-
Free Cash Flow,-0.99,0.54,-0.06,-0.1,-
Free Cash Flow Per Share,-0.03,0.01,-0.00,-0.00,-
