Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,4.95,4.83,1.48,0.58,2.37,-0.01,-0.01
Other Operating Activities,-3.39,-4.91,-1.82,-0.68,-3.73,0.01,0.01
Operating Cash Flow,1.56,-0.09,-0.34,-0.11,-1.36,0,0
Change in Investments,-1.63,0,0,0,-227.25,0,0
Investing Cash Flow,-1.63,0,0,0,-227.25,0,0
Net Cash Flow,-0.07,-0.09,-0.34,-0.11,1.03,0,0
Free Cash Flow,1.56,-0.09,-0.34,-0.11,-1.36,0,0
Free Cash Flow Per Share,0.06,-0.00,-0.01,-0.00,-0.13,-,-
