Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Net Income,0.17,0.2,0.27,-0.06,0.33,0.1,0.98,-2.06,-0.25,-0,-0.01,-0.01,-0.01,-0.01
Other Operating Activities,-0.22,-0.24,-0.45,-0.02,-0.47,-0.18,-1.06,1.85,0.17,0,0,0.01,0.11,0.01
Operating Cash Flow,-0.06,-0.04,-0.19,-0.07,-0.14,-0.08,-0.09,-0.21,-0.09,-0,-0.01,-0,0.11,-
Change in Investments,0,0,0,0,0,0,0,0,-40.6,0,0,0,0,-
Investing Cash Flow,0,0,0,0,0,0,0,0,-40.6,0,0,0,0,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,39,0,0,0,0,-
Debt Issued / Paid,0.06,0.04,0.13,0,0,0,-0,0,0.12,0.05,0.03,-0.14,0.1,-
Other Financing Activities,-,-,-,-,-,-,-0.03,-,2.21,-0.04,-,-0.08,-0.04,-
Financing Cash Flow,0.06,0.04,0.13,0,0,0,-0.03,0,41.33,0.01,0.03,-0.22,0.06,-
Net Cash Flow,0,0,-0.05,-0.07,-0.14,-0.08,-0.12,-0.21,0.65,0.01,0.03,-0.21,0.17,-
Free Cash Flow,-0.06,-0.04,-0.19,-0.07,-0.14,-0.08,-0.09,-0.21,-0.09,-0,-0.01,-0,0.11,-
Free Cash Flow Per Share,-0.01,-0.01,-0.04,-0.01,-0.03,-0.02,-0.02,-0.07,-0.02,-,-0.01,-0.00,0.11,-
