Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-09-30
Net Income,-,-,-,-,-,-,"-1,021.12",41.89,-,53.79,-30.83,24.98,-30.34
Other Operating Activities,-,-,-,-,-,-,"1,021.12",-41.89,-,80.97,-37.57,43.65,7.77
