Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,551.48,599.03,581.21,534.66,655.85,636.34,626.38,590.37,493.94,602.67,456.71,419.39,411.28,597.88,660.51,703.18,774.17,649.3,606.56,439.05,"-1,303.86",-278.74,-122.77,-285.11,17.92,60.85
Other Operating Activities,-551.48,-599.03,-581.21,-534.66,-655.85,-636.34,-626.38,-590.37,-493.94,-602.67,-456.71,-419.39,-411.28,-597.88,-660.51,-703.18,-774.17,-649.3,-606.56,-439.05,506.99,-541.37,-631.8,-416.8,-266.04,-193.53
