Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,274.64,211.72,185.7,139.93,145.52,267.24,223.44,189.2,-655.47,-113.02,-343.67,-196.34,79.67,169.58,316.06,208.96,241.92,197.89,301.07,142.24,158.46,100.33
Other Operating Activities,-274.64,-211.72,-185.7,-139.93,-145.52,-267.24,-223.44,-189.2,655.47,113.02,343.67,196.34,-79.67,-169.58,-316.06,-208.96,-241.92,-197.89,-301.07,-142.24,-158.46,-100.33
