Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.8,1.91,2.76,5.06,3.83,0,0
Other Operating Activities,-2.01,-2.19,-2.88,-5.43,-4.25,-,-
Operating Cash Flow,-0.21,-0.28,-0.11,-0.37,-0.42,0,0
Change in Investments,0.69,0.14,0,0,-234.6,0,0
Investing Cash Flow,0.69,0.14,0,0,-234.6,0,0
Net Cash Flow,0.48,-0.14,0.06,-0.37,1.39,0,0
Free Cash Flow,-0.21,-0.28,-0.11,-0.37,-0.42,0,0
Free Cash Flow Per Share,-0.04,-0.05,-0.02,-0.06,-0.09,-,-
