Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Net Income,8.17,-10.54,-39.38,10.56,19.9,-78.91,-77.18,28.52,-26.96,14.69,-3.73,-5.5,-13.7,0.28,-27.57,15.6,-9.7
Other Operating Activities,-8.17,10.54,39.38,-10.56,-19.9,78.91,77.18,-28.52,26.96,-14.69,3.73,2.3,7.55,-16.13,40.7,-47.02,4.13
