Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Net Income,485.24,270.32,-,330.77,320.93,200.08,181.21,-559.61,79.84,-232.2,19.22,403.99,228.03,154.46,369.13,985.92,-135.79,193.77,535.85,"-1,111.05",302.97,269.1,350.9,379.78,344.28,260.62,131.72,-
Other Operating Activities,-485.24,-270.32,-,-330.77,-320.93,-200.08,-181.21,559.61,-79.84,232.2,-19.22,-403.99,-228.03,-154.46,-369.13,-985.92,135.79,-193.77,-535.85,"1,111.05",-302.97,-269.1,-350.9,-379.78,-344.28,-260.62,-131.72,-
