Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30
Net Income,-,-,-,-,-,-,2.91,0.44,-0.06,-0.83,-0.11
Depreciation & Amortization,-,-,-,-,-,-,0.02,0,-,0.01,0
Other Operating Activities,-,-,-,-,-,-,1.13,-0.06,0.06,0.92,0.04
Operating Cash Flow,-,-,-,-,-,-,4.05,0.38,-,0.1,-0.07
Capital Expenditures,-,-,-,-,-,-,-0.01,0,-,-0.06,0
Acquisitions,-,-,-,-,-,-,-6.48,0,-,0,0
Change in Investments,-,-,-,-,-,-,-1.64,-0.67,-,0,0
Other Investing Activities,-,-,-,-,-,-,-0,-0.8,-,-,-
Investing Cash Flow,-,-,-,-,-,-,-8.14,-1.47,-,-0.06,0
Share Issuance / Repurchase,-,-,-,-,-,-,0,-0.01,-,0,0.37
Debt Issued / Paid,-,-,-,-,-,-,6.47,0,-,1.74,0
Financing Cash Flow,-,-,-,-,-,-,6.47,-0.01,-,1.74,0.37
Net Cash Flow,-,-,-,-,-,-,2.48,-1.1,-,1.79,0.3
Free Cash Flow,-,-,-,-,-,-,4.04,0.38,-,0.05,-0.07
Free Cash Flow Margin,-,-,-,-,-,-,69.21%,-,-,3.31%,-
Free Cash Flow Per Share,-,-,-,-,-,-,0.57,0.11,-,0.01,-0.03
