Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.43,-1.04,-0.23,-1.85,-4.56,-0.41,-0.49,-0.63,0.63,-
Other Operating Activities,0.2,0.55,0.01,1.65,4.02,0.22,0.34,0.47,-0.9,-
Operating Cash Flow,-0.24,-0.49,-0.22,-0.2,-0.55,-0.19,-0.16,-0.16,-0.27,-
Change in Investments,12.16,-0.13,6.59,0,65,-0.9,0,0,0,-
Investing Cash Flow,12.16,-0.13,6.59,0,65,-0.9,0,0,0,-
Share Issuance / Repurchase,-12.55,0,-6.66,0,-65,0,0,0,0,-
Debt Issued / Paid,0.67,0.63,0.29,0.11,0.42,0.9,0,0,0,-
Other Financing Activities,-,71.45,-,-,-,-0.9,-,-,-,-
Financing Cash Flow,-11.89,72.09,-6.37,0.11,-64.58,0,0,0,0,-
Net Cash Flow,0.04,0.01,-0,-0.09,-0.13,-0.19,-0.16,-0.16,-0.27,-
Free Cash Flow,-0.24,-0.49,-0.22,-0.2,-0.55,-0.19,-0.16,-0.16,-0.27,-
Free Cash Flow Per Share,-0.06,-0.08,-0.04,-0.04,-0.07,-0.02,-0.01,-0.01,-0.02,-
