Metrics,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31,2020-12-31
Net Income,-,-32.08,1.57,-,-12.05,19.27,-
Other Operating Activities,-,32.08,-1.57,-,12.05,-19.27,-
