Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31
Net Income,139.91,182.42,349.01,305.24,281.31,273.2,305.53,454.09,"-1,573.51",285.62,299.64,243.03,102.79,191.6,250.18,284.58,155.64,207.71,179.49,268.47,159.2,179.68,207.04,217,107.36,155.21,182.26,199,83.54,150.86,169.35,132.08,90.71,-,-,-,-,-,-
Other Operating Activities,-139.91,-182.42,-349.01,-305.24,-281.31,-273.2,-305.53,-454.09,"1,573.51",-285.62,-299.64,-243.03,-102.79,-191.6,-250.18,-284.58,-155.64,-207.71,-179.49,-268.47,-159.2,-179.68,-207.04,-217,-107.36,-155.21,-182.26,-199,-83.54,-150.86,-169.35,-132.08,-90.71,-,-,-,-,-,-
