Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-0.2,1.16,-0.23,8.62,3.18,-0.57,19.07,-6.46,-7.11,-0.01
Other Operating Activities,-0.08,-1.3,0.29,-8.64,-3.27,0.5,-19.27,6.11,6.46,0
Operating Cash Flow,-0.28,-0.14,0.06,-0.02,-0.09,-0.07,-0.21,-0.35,-0.65,-0.01
Other Investing Activities,283.62,-,-,-,-,-,-,-,-,-
Investing Cash Flow,283.62,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,302,0.03
Debt Issued / Paid,0,0,0,0,0,0,0,0,-0.28,0.28
Other Financing Activities,-,-,-,-,-,-,-,-,-0.53,-0.07
Financing Cash Flow,0,0,0,0,0,0,0,0,301.19,0.23
Net Cash Flow,-0.02,-0.14,0.14,-0.02,-0.09,-0.07,-0.21,-0.35,0.54,0.22
Free Cash Flow,-0.28,-0.14,0.06,-0.02,-0.09,-0.07,-0.21,-0.35,-0.65,-0.01
Free Cash Flow Per Share,-0.02,-0.01,0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.05,-0.00
