Metrics,2023-01-31,2022-10-31,2022-07-31,2022-01-31,2021-10-31,2021-07-31,2021-01-31,2020-07-31,2020-01-31,2019-07-31,2019-01-31,2018-07-31
Net Income,0.81,-0.11,-,-1.08,-1.08,-,-,-,-,-,-,-
Depreciation & Amortization,0.15,0.14,-,0.16,0.19,-,-,-,-,-,-,-
Other Operating Activities,-2.07,0.34,-,1.4,0.74,-,-,-,-,-,-,-
Operating Cash Flow,-1.12,0.36,-,0.48,-0.15,-,-,-,-,-,-,-
Capital Expenditures,0,-0.01,-,-0.01,0.28,-,-,-,-,-,-,-
Acquisitions,0,-0.1,-,0,0,-,-,-,-,-,-,-
Change in Investments,0.08,-0.14,-,-2.52,0.16,-,-,-,-,-,-,-
Investing Cash Flow,0.08,-0.24,-,-2.53,0.43,-,-,-,-,-,-,-
Share Issuance / Repurchase,0,0,-,0,1.07,-,-,-,-,-,-,-
Other Financing Activities,-,-,-,-0.11,-1,-,-,-,-,-,-,-
Financing Cash Flow,0,0,-,-0.11,0.07,-,-,-,-,-,-,-
Net Cash Flow,-1.04,0.12,-,-2.24,0.36,-,-,-,-,-,-,-
Free Cash Flow,-1.12,0.36,-,0.48,0.12,-,-,-,-,-,-,-
Free Cash Flow Margin,-58.86%,118.52%,-,6199.93%,23.95%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.12,0.04,-,0.05,0.01,-,-,-,-,-,-,-
