Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.12,1.07,-0.1,-0.04,-0.52,0,0
Other Operating Activities,-1.21,-1.12,0.03,-0.15,-0.45,-,-
Operating Cash Flow,-0.09,-0.05,-0.07,-0.2,-0.97,0,-
Net Cash Flow,-0.09,-0.05,-0.07,-0.2,0.78,0,-
Free Cash Flow,-0.09,-0.05,-0.07,-0.2,-0.97,0,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.09,-,-
