Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,1.24,3.34,-0.89,-5.88,-5.38,20.52,-21.51,21.06,8.49,4.77,2.95,-0.15,-0.56,-1.28,-1.88,-2.87,-1.96,-3.22,-36.02,-2
Other Operating Activities,-1.3,-3.34,0.89,5.88,5.38,-20.52,21.51,-21.06,-8.49,-4.77,-2.95,0.15,0.56,1.28,1.88,2.87,1.96,3.22,36.02,2
