Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.22,1.12,0.48,-0.1,-0.27,-0.03,-0.02,-0.01
Share-Based Compensation,0.09,0.1,0.1,0.09,0.09,-0.01,0.02,0.01
Other Operating Activities,-0.48,-1.27,-0.68,-0.25,-0.16,0.01,-,-
Operating Cash Flow,-0.17,-0.05,-0.1,-0.26,-0.34,-0.03,0,0
Net Cash Flow,-0.17,-0.05,-0.1,-0.26,-0.34,1.07,0,0
Free Cash Flow,-0.17,-0.05,-0.1,-0.26,-0.34,-0.03,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.02,-0.01,-,-
