Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31,2017-12-31
Net Income,-881.61,"1,354.64","2,936.45","5,289.88","2,991.61","4,115.45","4,728.69","4,968.63","2,925.36","2,157.2","3,086.2","4,185.36","2,440.1","3,414.22",-,-
Other Operating Activities,881.61,"-1,354.64","-2,936.45","-5,289.88","-2,991.61","-4,115.45","-4,728.69","-4,968.63","-2,925.36","-2,157.2","-3,086.2","-4,185.36","-2,440.1","-3,414.22",-,-
