Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,0.04,0.2,-0.07,-0.22,-0.07,-0.03,-0.01,-0.03,-0.02
Other Operating Activities,-0.18,-0.26,-0.04,-0.01,-0.01,0.01,0.01,-,-
Operating Cash Flow,-0.13,-0.06,-0.11,-0.23,-0.08,-0.02,-0,-0.03,-0.02
Change in Investments,-0.03,0,0,0,0,0,0,0,0
Other Investing Activities,24.27,-,-,-,-,-,-,-,-
Investing Cash Flow,24.25,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-24.27,0,0,0,0,60.05,0,0,0.02
Debt Issued / Paid,0.03,0.03,0.03,0.03,0.03,-0.1,-0.4,0.45,0.02
Other Financing Activities,-,-,-,-,-,-1.02,-,-0.05,-
Financing Cash Flow,-24.24,0.03,0.03,0.03,0.03,58.93,-0.4,0.4,0.04
Net Cash Flow,-0.13,-0.04,-0.08,-0.2,-0.05,0.83,-0.4,0.38,0.03
Free Cash Flow,-0.13,-0.06,-0.11,-0.23,-0.08,-0.02,-0,-0.03,-0.02
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.03,-0.03,-0.01,-0.00,-0.02,-0.05
