Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,133,251,218,173,212,204,220,182,142,-,-,Upgrade
Market Cap Growth,-,15.08%,26.16%,-18.38%,3.75%,-7.17%,20.94%,28.10%,-,-,-,Upgrade
Enterprise Value,98,351,6,-10,231,111,235,207,146,-52,-56,Upgrade
PE Ratio,5.98,9.46,8.43,8.52,14.89,14.38,18.74,12.92,10.07,-,-,Upgrade
PS Ratio,1.27,2.34,2.22,2.07,3.26,3.35,3.82,3.36,2.70,-,-,Upgrade
PB Ratio,0.59,1.07,0.98,0.97,1.28,1.39,1.53,1.46,1.20,-,-,Upgrade
P/FCF Ratio,4.57,7.33,8.95,9.85,12.36,8.83,39.95,9.54,11.09,-,-,Upgrade
P/OCF Ratio,4.13,6.82,8.23,7.29,7.29,7.60,17.94,8.20,8.26,-,-,Upgrade
EV/Sales Ratio,0.93,3.27,0.06,-0.12,3.55,1.82,4.08,3.83,2.78,-1.07,-1.25,Upgrade
EV/EBITDA Ratio,2.74,8.68,0.16,-0.34,11.04,5.29,10.89,8.84,6.23,-2.73,-3.53,Upgrade
EV/EBIT Ratio,3.13,9.66,0.18,-0.39,12.93,6.28,12.28,9.75,6.80,-3.08,-4.08,Upgrade
EV/FCF Ratio,3.34,10.25,0.25,-0.56,13.49,4.79,42.65,10.86,11.40,-3.33,-3.63,Upgrade
Debt / Equity Ratio,0.58,0.78,0.22,0.65,0.52,0.23,0.37,0.35,0.36,0.02,0.05,Upgrade
Debt / EBITDA Ratio,3.70,4.53,1.27,3.98,4.14,1.65,2.45,1.84,1.80,0.17,0.40,Upgrade
Debt / FCF Ratio,4.51,5.35,2.03,6.64,5.06,1.49,9.60,2.27,3.29,0.21,0.41,Upgrade
Asset Turnover,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.03,Upgrade
Return on Equity (ROE),9.70%,11.60%,12.40%,11.40%,8.90%,10.00%,8.50%,11.20%,10.10%,8.00%,6.70%,Upgrade
Return on Assets (ROA),0.70%,0.90%,0.90%,0.80%,0.70%,0.80%,0.70%,1.00%,0.90%,0.70%,0.60%,Upgrade
Return on Capital (ROIC),1.00%,1.20%,1.30%,1.10%,1.00%,1.00%,1.10%,1.40%,1.50%,1.20%,1.00%,Upgrade
Earnings Yield,16.68%,10.57%,11.87%,11.74%,6.71%,6.95%,5.34%,7.74%,9.94%,-,-,Upgrade
FCF Yield,21.88%,13.65%,11.17%,10.15%,8.09%,11.32%,2.50%,10.48%,9.02%,-,-,Upgrade
Dividend Yield,5.14%,2.73%,2.92%,3.60%,2.73%,2.76%,13.95%,2.68%,0.79%,-,-,Upgrade
Payout Ratio,30.50%,25.80%,24.60%,30.60%,40.40%,39.60%,262.10%,34.70%,7.90%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-,-,-0.48%,-0.10%,-,-5.22%,-8.49%,-1.35%,-,0.03%,Upgrade,
Total Shareholder Return,5.10%,2.73%,2.92%,3.13%,2.63%,2.76%,8.73%,-5.81%,-0.56%,-,0.03%,Upgrade
