Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,"1,362","1,207","1,492",883,813,667,509,417,218,735,-,Upgrade
Market Cap Growth,-,-19.08%,68.86%,8.73%,21.82%,31.13%,22.03%,91.10%,-70.31%,-,-,Upgrade
Enterprise Value,"3,402","3,321","2,691","1,529","1,758","1,475","1,199","1,001",711,830,73,Upgrade
PE Ratio,7.03,5.82,5.82,2.34,22.19,9.52,17.40,12.05,4.96,6.58,-,Upgrade
PS Ratio,1.19,1.08,1.46,1.29,0.69,0.69,0.70,0.56,0.33,0.91,-,Upgrade
PB Ratio,1.11,1.02,1.37,0.96,2.16,1.92,1.81,1.73,1.06,4.77,-,Upgrade
P/FCF Ratio,1.38,1.42,3.37,1.24,0.98,1.00,1.18,1.10,0.87,1.76,-,Upgrade
P/OCF Ratio,1.32,1.35,3.16,1.19,0.96,0.97,1.14,1.06,0.77,1.71,-,Upgrade
EV/Sales Ratio,3.00,2.97,2.63,2.23,1.50,1.52,1.65,1.34,1.09,1.02,0.10,Upgrade
EV/EBITDA Ratio,7.65,7.81,6.00,2.82,10.39,8.73,10.11,7.22,5.01,3.55,0.46,Upgrade
EV/EBIT Ratio,8.36,8.55,6.52,2.93,11.40,9.53,11.39,8.13,5.76,3.86,0.52,Upgrade
EV/FCF Ratio,3.48,3.91,6.09,2.15,2.12,2.20,2.78,2.64,2.82,1.99,0.17,Upgrade
Debt / Equity Ratio,1.92,1.93,1.30,1.11,2.73,2.47,2.80,2.69,2.63,3.21,2.45,Upgrade
Debt / EBITDA Ratio,5.26,5.39,3.18,1.87,6.06,5.08,6.65,4.69,3.82,2.11,2.67,Upgrade
Debt / FCF Ratio,2.39,2.70,3.22,1.43,1.24,1.28,1.83,1.71,2.15,1.19,1.00,Upgrade
Current Ratio,-,-,-,-,-,-,-,-,-,6.88,7.87,Upgrade
Asset Turnover,0.32,0.33,0.42,0.39,0.81,0.76,0.68,0.79,0.83,1.11,1.17,Upgrade
Return on Equity (ROE),17.70%,18.40%,23.70%,62.80%,9.20%,20.80%,10.70%,15.10%,22.60%,71.50%,57.70%,Upgrade
Return on Assets (ROA),5.70%,6.10%,10.50%,21.40%,2.50%,5.50%,2.70%,3.70%,5.60%,15.30%,12.00%,Upgrade
Return on Capital (ROIC),7.80%,7.90%,14.10%,24.70%,7.70%,8.90%,7.50%,10.30%,13.30%,26.60%,19.30%,Upgrade
Earnings Yield,15.25%,17.18%,17.18%,42.77%,4.51%,10.51%,5.75%,8.30%,20.17%,15.20%,-,Upgrade
FCF Yield,72.49%,70.45%,29.64%,80.52%,101.98%,100.48%,84.92%,90.92%,115.38%,56.72%,-,Upgrade
Buyback Yield / Dilution,6.22%,11.27%,-16.82%,6.09%,2.21%,-3.06%,-2.00%,-1.32%,-0.05%,-0.02%,-,Upgrade
Total Shareholder Return,6.22%,11.27%,-16.82%,6.09%,2.21%,-3.06%,-2.00%,-1.32%,-0.05%,-0.02%,-,Upgrade
