Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,"1,060",996,"1,042","1,110","1,274","1,092","1,185","1,199",972,797,782,Upgrade
Market Cap Growth,-,-4.49%,-6.11%,-12.89%,16.66%,-7.85%,-1.13%,23.37%,21.89%,2.01%,57.71%,Upgrade
Enterprise Value,"1,016",934,972,"1,048","1,231","1,052","1,130","1,140",902,706,659,Upgrade
PE Ratio,19.15,17.91,15.85,12.82,13.75,15.25,25.64,15.40,13.79,14.86,17.97,Upgrade
PS Ratio,3.55,3.38,3.30,3.27,3.44,2.89,3.16,3.02,2.42,1.97,2.19,Upgrade
PB Ratio,3.18,3.14,2.61,2.53,2.96,2.67,2.79,2.63,2.14,1.78,1.88,Upgrade
P/FCF Ratio,32.35,38.14,28.40,17.77,16.38,11.25,9.10,10.65,10.57,5.71,6.11,Upgrade
P/OCF Ratio,30.61,35.31,27.45,17.51,16.17,11.12,9.06,10.50,10.47,5.67,6.05,Upgrade
EV/Sales Ratio,3.41,3.17,3.08,3.09,3.32,2.79,3.01,2.87,2.25,1.75,1.85,Upgrade
EV/EBITDA Ratio,14.70,13.55,12.08,9.71,10.57,11.88,13.58,10.00,8.82,9.41,10.91,Upgrade
EV/EBIT Ratio,14.99,13.81,12.23,9.81,10.65,12.01,13.74,10.11,8.94,9.58,11.15,Upgrade
EV/FCF Ratio,31.09,35.78,26.47,16.78,15.82,10.83,8.67,10.13,9.82,5.06,5.14,Upgrade
Asset Turnover,0.23,0.22,0.22,0.22,0.24,0.24,0.24,0.25,0.26,0.28,0.27,Upgrade
Return on Equity (ROE),15.80%,15.10%,14.60%,19.00%,20.80%,16.40%,9.90%,16.00%,15.00%,12.30%,10.90%,Upgrade
Return on Assets (ROA),4.20%,4.10%,4.50%,5.70%,6.00%,4.60%,3.00%,5.00%,4.60%,3.70%,3.30%,Upgrade
Return on Capital (ROIC),5.40%,5.30%,5.70%,7.40%,7.80%,5.80%,5.50%,7.60%,7.00%,5.50%,4.90%,Upgrade
Earnings Yield,5.26%,5.59%,6.31%,7.80%,7.27%,6.56%,3.90%,6.49%,7.25%,6.73%,5.56%,Upgrade
FCF Yield,3.09%,2.62%,3.52%,5.63%,6.11%,8.89%,10.99%,9.39%,9.46%,17.52%,16.38%,Upgrade
Dividend Yield,9.51%,10.17%,9.61%,7.99%,6.83%,7.74%,6.98%,6.36%,7.08%,2.33%,0.77%,Upgrade
Payout Ratio,181.70%,181.30%,151.80%,102.00%,93.40%,117.40%,178.40%,97.30%,96.80%,34.00%,13.50%,Upgrade
Buyback Yield / Dilution,1.01%,0.45%,-0.23%,-0.18%,-0.19%,-0.25%,-0.22%,-0.44%,-1.01%,-0.96%,-0.93%,Upgrade
Total Shareholder Return,10.53%,10.62%,9.38%,7.81%,6.64%,7.49%,6.76%,5.92%,6.07%,1.37%,-0.17%,Upgrade
