Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,96,47,66,146,67,2,1,6,72,-,-,Upgrade
Market Cap Growth,-,-27.63%,-55.01%,119.29%,2696.35%,68.55%,-74.97%,-92.18%,-,-,-,Upgrade
Enterprise Value,-49,-119,-76,-5,23,19,1,6,71,-2,-3,Upgrade
PE Ratio,9.01,6.65,-3.94,-11.73,-11.60,-0.47,-0.51,-1.47,-28.63,-,-,Upgrade
PS Ratio,1.46,1.58,2.18,13.79,19.57,2.72,0.58,1.37,19.05,-,-,Upgrade
PB Ratio,7.51,1.99,0.93,1.69,4.74,-0.57,0.63,1.32,10.44,-,-,Upgrade
P/FCF Ratio,0.90,0.67,-2.56,-8.94,-26.58,-0.12,-0.18,-5.87,-58.24,-,-,Upgrade
P/OCF Ratio,0.88,0.65,-2.59,-8.98,-27.07,-0.12,-0.18,-6.08,-60.03,-,-,Upgrade
EV/Sales Ratio,-1.31,-3.96,-2.54,-0.51,6.86,21.85,0.42,1.34,18.88,-0.38,-0.55,Upgrade
EV/EBITDA Ratio,-5.07,-7.89,6.46,0.50,-4.29,-3.89,-0.41,-1.59,-33.75,0.58,1.73,Upgrade
EV/EBIT Ratio,-5.20,-8.07,6.43,0.50,-4.24,-3.78,-0.37,-1.44,-28.37,0.51,1.45,Upgrade
EV/FCF Ratio,-0.80,-1.67,2.98,0.33,-9.32,-0.94,-0.13,-5.76,-57.72,0.71,-6.76,Upgrade
Debt / Equity Ratio,1.95,1.05,-,0.00,0.04,-4.74,0.25,0.13,0.08,0.07,0.08,Upgrade
Debt / EBITDA Ratio,1.47,1.66,-,-0.04,-0.10,-3.98,-0.22,-0.16,-0.26,-0.18,-0.34,Upgrade
Debt / FCF Ratio,0.23,0.35,-,-0.02,-0.21,-0.96,-0.07,-0.57,-0.44,-0.22,1.31,Upgrade
Asset Turnover,0.04,0.02,0.03,0.02,0.03,0.02,0.05,0.07,0.06,0.08,0.08,Upgrade
Return on Equity (ROE),35.80%,16.90%,-20.90%,-34.10%,-54.90%,342.00%,-100.70%,-52.00%,-38.30%,-48.10%,-25.50%,Upgrade
Return on Assets (ROA),0.60%,0.50%,-1.60%,-2.60%,-4.30%,-9.60%,-5.70%,-6.70%,-4.20%,-5.60%,-3.10%,Upgrade
Return on Capital (ROIC),1.00%,1.00%,-1.30%,-2.80%,-4.70%,-9.00%,-5.90%,-7.20%,-4.40%,-6.00%,-3.40%,Upgrade
Earnings Yield,11.19%,15.03%,-25.35%,-8.53%,-8.62%,-212.94%,-194.78%,-68.23%,-3.49%,-,-,Upgrade
FCF Yield,111.67%,150.18%,-39.11%,-11.18%,-3.76%,-856.81%,-544.48%,-17.03%,-1.72%,-,-,Upgrade
Buyback Yield / Dilution,0.26%,0.26%,-37.46%,-32.84%,-4374.11%,-0.48%,-0.91%,-25.18%,-36.86%,-44.52%,-0.05%,Upgrade
Total Shareholder Return,0.26%,0.26%,-37.46%,-32.84%,-4374.11%,-0.48%,-0.91%,-25.18%,-36.86%,-44.52%,-0.05%,Upgrade
