Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,84,84,137,204,246,143,123,108,72,67,59,Upgrade
Market Cap Growth,-,-38.56%,-33.16%,-16.74%,72.23%,16.29%,13.31%,50.28%,7.94%,12.68%,9.16%,Upgrade
Enterprise Value,43,14,-41,22,188,94,97,48,-54,25,58,Upgrade
PE Ratio,6.09,7.05,11.96,20.18,23.78,15.41,16.48,15.76,13.85,11.92,11.67,Upgrade
PS Ratio,1.99,2.13,3.58,5.86,6.90,4.42,3.98,3.75,3.16,3.03,2.86,Upgrade
PB Ratio,0.88,0.99,1.20,1.85,2.48,1.66,1.52,1.43,0.97,1.17,1.11,Upgrade
P/FCF Ratio,4.58,5.21,6.38,17.84,22.11,11.01,10.09,17.22,14.58,10.50,6.21,Upgrade
P/OCF Ratio,4.46,5.08,6.32,16.95,17.44,10.68,9.14,13.13,11.99,9.65,6.03,Upgrade
EV/Sales Ratio,1.03,0.36,-1.07,0.64,5.27,2.90,3.16,1.65,-2.36,1.14,2.83,Upgrade
EV/EBITDA Ratio,2.53,0.91,-2.75,1.70,14.03,7.90,8.28,4.50,-6.80,2.93,7.27,Upgrade
EV/EBIT Ratio,2.70,0.98,-2.98,1.87,15.24,8.81,9.24,5.07,-7.52,3.19,7.97,Upgrade
EV/FCF Ratio,2.38,0.87,-1.90,1.93,16.90,7.24,8.02,7.57,-10.90,3.97,6.14,Upgrade
Debt / Equity Ratio,-,-,-,-,-,-,0.12,-,-,-,0.28,Upgrade
Debt / EBITDA Ratio,-,-,-,-,-,-,0.85,-,-,-,1.84,Upgrade
Debt / FCF Ratio,-,-,-,-,-,-,0.82,-,-,-,1.55,Upgrade
Asset Turnover,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),15.40%,13.80%,10.10%,9.50%,10.90%,11.30%,9.30%,8.90%,8.30%,10.00%,9.60%,Upgrade
Return on Assets (ROA),1.10%,1.00%,1.00%,1.10%,1.30%,1.20%,1.00%,0.90%,1.00%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),1.50%,1.40%,1.50%,1.50%,1.60%,1.50%,1.50%,1.50%,1.60%,1.80%,1.70%,Upgrade
Earnings Yield,16.01%,14.18%,8.36%,4.96%,4.20%,6.49%,6.07%,6.34%,7.22%,8.39%,8.57%,Upgrade
FCF Yield,21.85%,19.20%,15.67%,5.60%,4.52%,9.08%,9.91%,5.81%,6.86%,9.52%,16.09%,Upgrade
Dividend Yield,4.38%,4.18%,2.57%,1.59%,1.30%,2.17%,2.34%,2.59%,3.22%,3.45%,3.76%,Upgrade
Payout Ratio,26.60%,29.30%,30.50%,31.70%,30.60%,33.10%,38.40%,41.00%,44.90%,41.40%,44.00%,Upgrade
Buyback Yield / Dilution,0.41%,0.07%,0.06%,-0.36%,-0.22%,-0.57%,0.02%,-20.99%,-0.66%,1.58%,0.02%,Upgrade
Total Shareholder Return,4.78%,4.25%,2.62%,1.22%,1.08%,1.59%,2.36%,-18.40%,2.56%,5.03%,3.78%,Upgrade
