Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"3,832","3,451","4,823","3,248","2,905","2,633","2,345","2,223","2,332","2,510","1,965",Upgrade
Market Cap Growth,-,-28.45%,48.50%,11.81%,10.32%,12.26%,5.48%,-4.65%,-7.08%,27.74%,7.18%,Upgrade
Enterprise Value,"4,161","3,451","4,823","3,248","2,905","2,633","2,345","2,223","2,332","2,510","1,965",Upgrade
PE Ratio,13.79,12.59,12.50,11.63,12.18,10.86,11.31,10.27,12.55,14.06,11.87,Upgrade
PS Ratio,13.16,11.30,11.59,10.53,10.91,9.73,10.09,9.29,11.10,12.49,10.57,Upgrade
PB Ratio,1.84,1.67,2.97,2.03,1.87,1.77,1.52,1.44,1.48,1.54,1.28,Upgrade
P/FCF Ratio,12.07,9.52,13.58,12.03,13.04,9.43,11.59,13.12,12.10,13.87,12.64,Upgrade
P/OCF Ratio,12.07,9.52,13.58,12.03,13.04,9.43,11.59,13.12,12.10,13.87,12.64,Upgrade
EV/Sales Ratio,14.47,11.30,11.59,10.53,10.91,9.73,10.09,9.29,11.10,12.49,10.57,Upgrade
EV/EBITDA Ratio,14.47,11.30,11.59,10.53,10.91,9.73,10.09,9.29,11.10,12.49,10.57,Upgrade
EV/EBIT Ratio,14.47,11.30,11.59,10.53,10.91,9.73,10.09,9.29,11.10,12.49,10.57,Upgrade
EV/FCF Ratio,13.27,9.52,13.58,12.03,13.04,9.43,11.59,13.12,12.10,13.87,12.64,Upgrade
Asset Turnover,0.15,0.17,0.26,0.20,0.18,0.18,0.16,0.16,0.13,0.13,0.12,Upgrade
Return on Equity (ROE),14.30%,16.40%,24.10%,18.30%,16.20%,16.00%,14.00%,14.20%,11.80%,11.50%,10.70%,Upgrade
Return on Assets (ROA),13.50%,15.40%,24.10%,18.30%,16.10%,16.00%,14.00%,14.20%,11.80%,11.50%,10.70%,Upgrade
Return on Capital (ROIC),15.20%,17.20%,26.00%,20.20%,18.00%,17.80%,15.70%,15.70%,13.30%,12.90%,12.00%,Upgrade
Earnings Yield,6.76%,7.95%,8.00%,8.60%,8.21%,9.21%,8.84%,9.74%,7.97%,7.11%,8.42%,Upgrade
FCF Yield,8.29%,10.51%,7.36%,8.31%,7.67%,10.61%,8.63%,7.62%,8.27%,7.21%,7.91%,Upgrade
Dividend Yield,8.02%,10.30%,7.33%,8.26%,7.67%,10.54%,8.50%,7.46%,8.09%,7.32%,7.45%,Upgrade
Payout Ratio,121.90%,131.60%,92.30%,96.90%,93.20%,115.20%,97.30%,78.10%,103.20%,102.70%,92.40%,Upgrade
Buyback Yield / Dilution,-14.64%,-1.67%,-2.68%,-0.19%,0.40%,-2.93%,1.26%,3.02%,-0.63%,-5.53%,12.46%,Upgrade
Total Shareholder Return,-6.51%,8.63%,4.65%,8.07%,8.06%,7.61%,9.76%,10.49%,7.46%,1.79%,19.91%,Upgrade
