Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,"1,592","1,589","1,442",786,738,449,552,435,241,411,676,Upgrade
Market Cap Growth,-,10.16%,83.46%,6.50%,64.28%,-18.59%,26.93%,80.78%,-41.43%,-39.22%,86.04%,Upgrade
Enterprise Value,927,823,992,593,-152,-50,-301,-287,-900,-671,-526,Upgrade
PE Ratio,10.94,12.20,13.03,9.82,14.32,5.07,25.47,-4.51,17.91,7.19,-46.84,Upgrade
PS Ratio,4.15,4.57,4.62,2.88,3.06,1.66,2.83,3.37,1.20,2.87,5.53,Upgrade
PB Ratio,2.20,2.29,2.21,1.35,1.52,1.11,1.70,1.45,0.75,1.29,2.73,Upgrade
P/FCF Ratio,11.54,13.71,17.51,6.72,11.38,-2.55,-19.95,-2.57,-0.99,-7.26,-14.08,Upgrade
P/OCF Ratio,10.92,13.13,17.19,6.51,11.04,-2.58,-19.65,-2.68,-1.02,-8.21,-17.32,Upgrade
EV/Sales Ratio,2.42,2.37,3.17,2.17,-0.63,-0.18,-1.54,-2.23,-4.48,-4.68,-4.31,Upgrade
EV/EBITDA Ratio,4.46,4.54,6.72,5.31,-1.95,-0.39,-5.94,2.80,-43.25,-13.88,186.50,Upgrade
EV/EBIT Ratio,4.53,4.63,6.87,5.50,-2.09,-0.41,-6.73,2.63,-60.50,-15.75,68.68,Upgrade
EV/FCF Ratio,6.72,7.10,12.05,5.07,-2.34,0.28,10.89,1.70,3.70,11.86,10.96,Upgrade
Debt / Equity Ratio,0.17,0.18,0.23,0.26,0.11,0.14,0.17,0.93,0.04,0.10,0.14,Upgrade
Debt / EBITDA Ratio,0.59,0.68,1.03,1.36,0.70,0.44,1.10,-2.69,0.69,0.68,-12.28,Upgrade
Debt / FCF Ratio,0.89,1.06,1.84,1.30,0.84,-0.31,-2.02,-1.63,-0.06,-0.58,-0.72,Upgrade
Asset Turnover,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.03,0.04,0.03,0.03,Upgrade
Return on Equity (ROE),22.00%,19.50%,17.70%,14.80%,11.10%,24.30%,6.60%,-31.00%,4.20%,16.20%,-4.50%,Upgrade
Return on Assets (ROA),2.00%,1.70%,1.60%,1.30%,1.00%,2.00%,0.50%,-2.20%,0.30%,1.20%,-0.30%,Upgrade
Return on Capital (ROIC),2.90%,2.50%,2.30%,1.80%,1.70%,3.20%,1.20%,-2.80%,0.40%,1.10%,-0.20%,Upgrade
Earnings Yield,9.44%,8.20%,7.67%,10.19%,6.99%,19.74%,3.93%,-22.19%,5.58%,13.91%,-2.13%,Upgrade
FCF Yield,8.66%,7.29%,5.71%,14.88%,8.79%,-39.25%,-5.01%,-38.97%,-101.26%,-13.77%,-7.10%,Upgrade
Buyback Yield / Dilution,3.16%,1.75%,1.06%,-1.20%,-0.82%,-1.05%,-0.98%,-46.51%,-0.13%,0.03%,-13.96%,Upgrade
Total Shareholder Return,3.16%,1.75%,1.06%,-1.20%,-0.82%,-1.05%,-0.98%,-46.51%,-0.13%,0.03%,-13.96%,Upgrade
