Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"12,124","19,389","20,138","15,272","17,654","13,911","20,654","18,238","13,819","13,566",-
Market Cap Growth,-,-3.72%,31.86%,-13.49%,26.91%,-32.65%,13.24%,31.98%,1.86%,-,-
Enterprise Value,"23,703","24,429","17,670","10,822","28,292","26,931","31,866","31,244","23,696","25,091","5,457"
PE Ratio,6.02,9.89,9.13,16.08,10.28,8.22,12.61,17.69,16.59,15.68,-
PS Ratio,1.54,2.57,2.85,2.89,2.90,2.40,3.84,3.73,3.06,2.91,-
PB Ratio,0.50,0.82,0.86,0.67,0.80,0.67,1.02,0.92,0.70,0.70,-
P/FCF Ratio,3.37,4.86,9.36,-2181.73,11.02,9.06,14.04,15.33,14.62,12.54,-
P/OCF Ratio,3.26,4.71,8.85,137.59,10.40,7.87,10.97,12.24,11.24,9.76,-
EV/Sales Ratio,3.01,3.24,2.50,2.05,4.64,4.64,5.92,6.39,5.24,5.38,1.30
EV/EBITDA Ratio,7.21,7.86,5.06,6.12,10.06,10.19,13.36,15.35,13.72,15.17,-1.78
EV/EBIT Ratio,8.87,9.61,6.17,9.09,12.99,12.50,16.79,20.56,18.87,19.79,-1.57
EV/FCF Ratio,6.59,6.12,8.21,-1546.02,17.66,17.54,21.66,26.26,25.07,23.19,2.37
Debt / Equity Ratio,0.82,0.67,0.30,0.38,0.65,0.83,0.71,0.87,0.68,0.79,0.44
Debt / EBITDA Ratio,6.05,5.11,2.01,4.86,5.09,6.52,6.05,8.43,7.71,9.17,-2.76
Debt / FCF Ratio,5.53,3.98,3.26,-1227.00,8.94,11.23,9.81,14.41,14.09,14.02,3.66
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.04,-
Return on Equity (ROE),8.60%,8.40%,9.50%,4.20%,7.80%,8.30%,8.20%,5.10%,4.30%,4.50%,-
Return on Assets (ROA),0.90%,0.90%,1.20%,0.50%,1.10%,1.10%,1.10%,0.70%,0.60%,0.70%,-
Return on Capital (ROIC),1.20%,1.20%,1.60%,0.70%,1.30%,1.30%,1.20%,1.00%,0.90%,1.00%,-
Earnings Yield,16.93%,10.11%,10.95%,6.22%,9.73%,12.16%,7.93%,5.65%,6.03%,6.38%,-
FCF Yield,29.66%,20.59%,10.68%,-0.05%,9.07%,11.03%,7.12%,6.52%,6.84%,7.98%,-
Dividend Yield,6.71%,3.99%,3.31%,4.37%,3.48%,3.38%,1.56%,1.32%,1.56%,0.41%,-
Payout Ratio,39.50%,39.30%,30.10%,70.30%,35.60%,27.70%,19.60%,23.40%,25.80%,6.50%,0.00%
Buyback Yield / Dilution,-14.84%,-11.78%,0.17%,5.11%,6.08%,4.62%,3.86%,2.66%,3.50%,0.41%,-
Total Shareholder Return,-8.14%,-7.79%,3.48%,9.48%,9.56%,8.00%,5.42%,3.98%,5.06%,0.82%,-
