Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,6,11,79,65,318,193,189,216,224,231,171,Upgrade
Market Cap Growth,-,-86.56%,22.40%,-79.72%,64.95%,1.93%,-12.51%,-3.28%,-3.00%,34.81%,-5.38%,Upgrade
Enterprise Value,-3,27,-172,61,368,238,208,215,186,145,75,Upgrade
PE Ratio,-0.08,-0.10,8.78,-0.68,-509.48,18.66,-16.39,33.17,10.24,17.18,20.76,Upgrade
PS Ratio,0.03,0.07,0.35,0.14,0.66,0.51,0.49,0.58,0.60,0.68,0.44,Upgrade
PB Ratio,0.26,0.18,0.45,0.39,1.21,0.76,0.75,0.82,0.85,0.92,0.72,Upgrade
P/FCF Ratio,-0.07,-0.06,1.89,-0.91,13.56,-5.51,42.14,8.16,4.54,6.96,2.53,Upgrade
P/OCF Ratio,-0.07,-0.06,1.81,-0.93,11.51,-5.86,26.31,7.02,4.23,6.85,2.50,Upgrade
EV/Sales Ratio,0.01,0.17,-0.76,0.13,0.76,0.63,0.54,0.57,0.50,0.43,0.19,Upgrade
EV/EBITDA Ratio,-0.02,-0.30,-12.67,-0.59,37.81,10.60,-28.25,12.72,4.74,5.44,3.78,Upgrade
EV/EBIT Ratio,-0.02,-0.29,-15.25,-0.56,84.15,13.74,-17.21,16.52,5.21,6.19,4.81,Upgrade
EV/FCF Ratio,-0.02,-0.16,-4.12,-0.86,15.69,-6.80,46.17,8.12,3.78,4.36,1.12,Upgrade
Debt / Equity Ratio,4.48,1.75,0.60,0.63,0.40,0.34,0.34,0.32,0.33,0.22,0.24,Upgrade
Debt / EBITDA Ratio,-0.86,-1.14,7.73,-1.00,10.77,3.82,-11.68,5.06,2.18,2.13,2.91,Upgrade
Debt / FCF Ratio,-0.64,-0.63,2.51,-1.48,4.47,-2.45,19.08,3.23,1.74,1.71,0.86,Upgrade
Asset Turnover,0.14,0.11,0.15,0.32,0.34,0.30,0.32,0.33,0.36,0.35,0.45,Upgrade
Return on Equity (ROE),-234.20%,-110.20%,5.10%,-51.40%,-0.20%,4.00%,-4.40%,2.40%,8.40%,5.40%,3.60%,Upgrade
Return on Assets (ROA),-9.70%,-7.20%,0.60%,-6.40%,0.00%,0.80%,-0.90%,0.60%,2.10%,1.40%,1.00%,Upgrade
Return on Capital (ROIC),-8.40%,-6.40%,0.90%,-7.70%,0.30%,1.40%,-1.00%,1.20%,3.90%,2.90%,2.20%,Upgrade
Earnings Yield,-2392.91%,-1017.82%,11.39%,-146.09%,-0.20%,5.36%,-6.10%,3.01%,9.77%,5.82%,4.82%,Upgrade
FCF Yield,-2719.26%,-1573.70%,52.95%,-109.92%,7.37%,-18.15%,2.37%,12.25%,22.04%,14.36%,39.53%,Upgrade
Buyback Yield / Dilution,-0.07%,-0.07%,-0.17%,-0.11%,-0.36%,0.55%,2.44%,2.78%,-0.31%,0.93%,-,Upgrade
Total Shareholder Return,-0.07%,-0.07%,-0.17%,-0.11%,-0.36%,0.55%,2.44%,2.78%,-0.31%,0.93%,-,Upgrade
