Year,Current,2021
Market Capitalization,88,-
Enterprise Value,88,0
PB Ratio,-430.61,-
EV/EBITDA Ratio,-,-5.93
EV/EBIT Ratio,-,-5.93
Debt / Equity Ratio,-0.26,3.02
Debt / EBITDA Ratio,-,-5.93
Current Ratio,0.46,1.03
