Year,Current,2022
Market Capitalization,56,154
Enterprise Value,55,153
PE Ratio,169.67,278.00
PB Ratio,-45.76,-45.76
P/FCF Ratio,-332.06,-332.06
P/OCF Ratio,-332.06,-332.06
EV/EBITDA Ratio,69.13,191.18
EV/EBIT Ratio,69.13,191.18
EV/FCF Ratio,-331.01,-331.01
Current Ratio,1.28,1.28
Earnings Yield,0.99%,0.36%
FCF Yield,-0.83%,-0.30%
