Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,81,96,113,83,102,95,86,79,52,55,47,Upgrade
Market Cap Growth,-,-15.64%,36.26%,-18.26%,7.52%,10.19%,9.35%,51.72%,-6.59%,18.53%,204.55%,Upgrade
Enterprise Value,73,59,19,-3,57,74,48,58,21,9,-74,Upgrade
PE Ratio,9.66,11.89,8.36,8.07,13.06,11.49,19.51,12.37,18.18,9.78,1.90,Upgrade
PS Ratio,1.98,2.39,2.43,2.01,2.66,2.59,2.52,2.27,1.87,1.65,1.34,Upgrade
PB Ratio,0.81,0.98,1.03,0.81,1.10,1.14,1.06,1.03,0.74,0.73,0.55,Upgrade
P/FCF Ratio,4.21,3.05,6.25,4.99,7.73,6.04,5.36,3.29,5.17,2.60,1.92,Upgrade
P/OCF Ratio,4.21,3.05,4.66,4.91,6.69,5.32,5.04,3.08,4.79,3.20,2.46,Upgrade
EV/Sales Ratio,1.79,1.48,0.41,-0.07,1.50,2.03,1.42,1.68,0.76,0.26,-2.12,Upgrade
EV/EBITDA Ratio,5.39,4.43,0.91,-0.18,4.37,5.75,4.64,4.83,3.59,0.66,-5.38,Upgrade
EV/EBIT Ratio,6.36,5.27,1.01,-0.21,5.16,6.65,5.49,5.54,4.60,0.72,-6.03,Upgrade
EV/FCF Ratio,3.80,1.89,1.06,-0.19,4.36,4.72,3.01,2.43,2.10,0.41,-3.04,Upgrade
Debt / Equity Ratio,0.02,-,-,-,-,-,-,0.09,0.13,-,-,Upgrade
Debt / EBITDA Ratio,0.17,-,-,-,-,-,-,0.58,1.54,-,-,Upgrade
Debt / FCF Ratio,0.12,-,-,-,-,-,-,0.29,0.90,-,-,Upgrade
Asset Turnover,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,Upgrade
Return on Equity (ROE),8.60%,8.40%,12.50%,10.40%,8.70%,10.10%,5.50%,8.60%,4.20%,7.00%,35.80%,Upgrade
Return on Assets (ROA),0.80%,0.80%,1.30%,1.20%,1.00%,1.10%,0.60%,1.00%,0.50%,0.90%,4.10%,Upgrade
Return on Capital (ROIC),1.10%,1.10%,2.10%,1.80%,1.60%,1.60%,1.30%,1.60%,0.80%,2.30%,2.20%,Upgrade
Earnings Yield,10.14%,8.41%,11.97%,12.38%,7.66%,8.70%,5.13%,8.08%,5.50%,10.23%,52.61%,Upgrade
FCF Yield,23.76%,32.82%,16.00%,20.02%,12.94%,16.56%,18.67%,30.43%,19.35%,38.45%,52.07%,Upgrade
Dividend Yield,1.44%,1.12%,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,12.70%,13.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,1.87%,2.47%,5.00%,0.15%,-0.40%,-7.27%,-0.19%,-0.13%,-0.28%,-1.04%,-0.02%,Upgrade
Total Shareholder Return,3.31%,3.60%,5.00%,0.15%,-0.40%,-7.27%,-0.19%,-0.13%,-0.28%,-1.04%,-0.02%,Upgrade
