Year,Current,2022
Market Capitalization,2,81
Enterprise Value,1,80
PE Ratio,-1901.25,-1901.25
PB Ratio,3.55,145.98
EV/EBITDA Ratio,-1885.77,-1885.77
EV/EBIT Ratio,-1885.77,-1885.77
Current Ratio,2.88,2.88
Earnings Yield,-2.16%,-0.05%
