Year,Current,2022
Market Capitalization,13,-
Enterprise Value,13,0
PB Ratio,657.69,-
EV/EBITDA Ratio,-34.83,-34.83
EV/EBIT Ratio,-34.83,-34.83
Debt / Equity Ratio,11.21,11.21
Debt / EBITDA Ratio,-38.36,-38.36
Earnings Yield,-0.04%,-
