Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1996
Market Capitalization,"3,567","2,968","1,834",987,"1,216",954,832,772,702,"1,041",536,Upgrade
Market Cap Growth,-,61.83%,85.84%,-18.84%,27.41%,14.70%,7.82%,9.99%,-32.61%,94.38%,18.33%,Upgrade
Enterprise Value,"3,473","2,831","1,680",940,"1,079",863,771,713,659,990,506,Upgrade
PE Ratio,54.99,44.69,39.56,20.83,26.04,26.74,28.23,27.05,24.54,30.28,20.04,Upgrade
PS Ratio,5.12,4.59,3.32,1.67,2.04,1.71,1.60,1.53,1.42,2.17,1.25,Upgrade
PB Ratio,18.52,13.97,8.32,5.20,6.24,5.58,6.00,5.85,5.49,8.23,4.81,Upgrade
P/FCF Ratio,64.67,79.35,23.78,20.36,19.19,27.69,39.60,22.33,32.71,28.56,13.41,Upgrade
P/OCF Ratio,41.79,44.15,19.43,12.21,15.46,15.36,15.99,15.04,15.83,19.00,9.77,Upgrade
EV/Sales Ratio,4.93,4.38,3.04,1.59,1.81,1.55,1.49,1.42,1.34,2.07,1.18,Upgrade
EV/EBITDA Ratio,30.70,26.10,20.33,11.29,12.77,12.39,11.26,10.81,10.37,13.58,8.48,Upgrade
EV/EBIT Ratio,39.36,33.49,28.39,15.48,17.54,18.02,16.21,15.49,14.46,17.52,11.52,Upgrade
EV/FCF Ratio,62.24,75.68,21.78,19.39,17.03,25.04,36.69,20.64,30.72,27.16,12.67,Upgrade
Debt / Equity Ratio,0.13,0.14,0.19,0.45,-,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.23,0.27,0.51,1.02,-,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.46,0.80,0.54,1.76,-,-,-,-,-,-,-,Upgrade
Current Ratio,1.38,1.55,1.66,1.56,1.84,1.67,1.43,1.53,1.51,1.68,1.76,Upgrade
Asset Turnover,1.72,1.53,1.26,1.40,1.93,2.14,2.21,2.30,2.32,2.39,2.42,Upgrade
Return on Equity (ROE),33.50%,30.20%,22.30%,24.10%,24.60%,23.10%,20.70%,22.20%,21.90%,29.10%,23.40%,Upgrade
Return on Assets (ROA),16.60%,15.80%,10.60%,11.20%,15.20%,13.70%,12.50%,13.00%,13.50%,17.20%,15.00%,Upgrade
Return on Capital (ROIC),153.10%,118.30%,40.30%,30.60%,241.70%,132.40%,111.30%,90.50%,78.80%,108.30%,71.20%,Upgrade
Earnings Yield,1.88%,2.24%,2.53%,4.80%,3.84%,3.74%,3.54%,3.70%,4.07%,3.30%,4.99%,Upgrade
FCF Yield,1.55%,1.26%,4.21%,4.91%,5.21%,3.61%,2.53%,4.48%,3.06%,3.50%,7.45%,Upgrade
Buyback Yield / Dilution,3.98%,0.21%,2.34%,2.14%,0.18%,2.70%,2.17%,4.24%,2.26%,4.84%,3.42%,Upgrade
Total Shareholder Return,3.98%,0.21%,2.34%,2.14%,0.18%,2.70%,2.17%,4.24%,2.26%,4.84%,3.42%,Upgrade
