Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,218,226,251,184,155,124,142,137,146,131,49,Upgrade
Market Cap Growth,-,-10.06%,36.63%,18.82%,24.76%,-12.70%,4.08%,-6.11%,11.27%,168.95%,39.96%,Upgrade
Enterprise Value,226,222,208,192,142,104,112,104,98,72,46,Upgrade
PE Ratio,15.13,16.76,9.70,35.38,6.50,20.04,46.68,4.73,-19.74,6.30,3.78,Upgrade
PS Ratio,5.51,5.45,4.48,5.01,5.04,4.78,3.79,6.11,6.20,7.52,7.54,Upgrade
PB Ratio,0.80,0.81,0.94,0.77,0.66,0.58,0.68,0.67,0.83,0.72,0.97,Upgrade
P/FCF Ratio,50.22,28.61,7.57,12.00,8.38,6.33,7.31,14.17,12.98,25.52,36.29,Upgrade
P/OCF Ratio,47.53,27.57,7.33,9.55,8.36,6.33,7.31,14.17,12.98,25.52,36.18,Upgrade
EV/Sales Ratio,5.69,5.36,3.70,5.22,4.62,4.00,2.98,4.67,4.19,4.14,7.13,Upgrade
EV/EBITDA Ratio,17.78,17.57,5.51,11.82,6.41,16.18,5.94,14.41,-26.44,6.52,14.22,Upgrade
EV/EBIT Ratio,22.88,22.63,6.22,46.50,8.26,16.25,5.94,14.41,-26.44,6.53,14.23,Upgrade
EV/FCF Ratio,51.88,28.14,6.25,12.50,7.68,5.30,5.74,10.83,8.76,14.06,34.30,Upgrade
Debt / Equity Ratio,0.04,0.01,0.00,0.05,-,-,-,-,-,-,0.10,Upgrade
Debt / EBITDA Ratio,0.82,0.19,0.00,0.73,-,-,-,-,-,-,1.55,Upgrade
Debt / FCF Ratio,2.40,0.31,0.00,0.77,-,-,-,-,-,-,3.73,Upgrade
Current Ratio,0.72,1.63,9.31,0.43,5.32,8.74,-,-,-,82.35,24.88,Upgrade
Asset Turnover,0.14,0.14,0.20,0.14,0.13,0.12,0.18,0.12,0.13,0.15,0.13,Upgrade
Return on Equity (ROE),5.30%,4.90%,10.10%,2.20%,10.50%,2.90%,1.40%,15.60%,-4.10%,20.00%,31.40%,Upgrade
Return on Assets (ROA),5.00%,4.60%,9.30%,2.00%,10.10%,2.90%,1.40%,15.20%,-3.90%,17.90%,26.10%,Upgrade
Return on Capital (ROIC),3.90%,4.10%,14.10%,1.90%,8.70%,3.30%,10.30%,5.50%,-2.50%,13.20%,9.30%,Upgrade
Earnings Yield,6.68%,5.97%,10.31%,2.83%,15.38%,4.99%,2.14%,21.14%,-5.06%,15.88%,26.45%,Upgrade
FCF Yield,1.99%,3.50%,13.21%,8.33%,11.94%,15.81%,13.68%,7.06%,7.70%,3.92%,2.76%,Upgrade
Buyback Yield / Dilution,0.10%,-0.36%,0.22%,0.38%,1.10%,-0.11%,-0.17%,-0.25%,-100.03%,-56.66%,-0.47%,Upgrade
Total Shareholder Return,0.10%,-0.36%,0.22%,0.38%,1.10%,-0.11%,-0.17%,-0.25%,-100.03%,-56.66%,-0.47%,Upgrade
