Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,894,853,"2,043","1,540",880,"1,136","1,838","1,742","1,848","1,949",-
Market Cap Growth,-,-58.27%,32.67%,75.02%,-22.51%,-38.20%,5.48%,-5.71%,-5.18%,-,-
Enterprise Value,"1,169","1,081","2,264","1,656","1,371","1,185","2,072","2,037","1,802","6,007","5,173"
PE Ratio,10.41,8.48,2.47,5.37,3.93,8.33,437.58,13.78,11.88,37.69,-
PS Ratio,2.26,2.04,3.90,3.08,1.48,1.22,2.07,2.63,2.64,1.85,-
PB Ratio,-117.76,-39.48,-116.10,5.09,5.93,7.82,15.39,10.28,11.14,19.81,-
P/FCF Ratio,11.18,8.47,-76.82,23.73,-5.13,6.55,14.59,14.03,7.68,13.30,-
P/OCF Ratio,9.26,7.30,-177.68,17.02,-6.35,5.82,13.16,12.65,7.29,12.65,-
EV/Sales Ratio,2.95,2.59,4.32,3.32,2.31,1.28,2.33,3.07,2.58,5.69,5.57
EV/EBITDA Ratio,7.10,5.88,2.45,3.83,4.85,6.32,11.52,10.69,8.49,15.59,12.65
EV/EBIT Ratio,7.93,6.54,2.51,4.02,5.14,7.13,12.83,11.41,8.78,23.96,19.80
EV/FCF Ratio,14.55,10.73,-85.10,25.52,-8.00,6.83,16.44,16.40,7.49,41.00,38.44
Debt / Equity Ratio,-52.72,-16.17,-26.85,1.62,4.13,2.72,3.64,2.34,0.54,43.97,-125.42
Debt / EBITDA Ratio,2.66,1.90,0.51,1.13,2.16,2.11,2.41,2.09,0.42,11.23,13.34
Debt / FCF Ratio,5.45,3.47,-17.76,7.54,-3.57,2.28,3.45,3.20,0.37,29.53,40.53
Asset Turnover,0.79,0.85,0.37,0.35,0.42,0.61,0.65,0.59,0.73,0.13,-
Return on Equity (ROE),-227.70%,-163.80%,146.60%,144.20%,261.90%,95.60%,2.90%,67.30%,135.40%,188.30%,-
Return on Assets (ROA),17.60%,20.50%,57.70%,20.30%,15.90%,9.00%,0.30%,11.20%,16.20%,0.60%,-
Return on Capital (ROIC),19.50%,21.70%,81.60%,25.40%,16.90%,13.00%,12.40%,17.50%,25.00%,2.00%,-
Earnings Yield,9.89%,11.80%,40.54%,18.61%,25.44%,12.01%,0.23%,7.25%,8.42%,2.65%,-
FCF Yield,8.95%,11.81%,-1.30%,4.21%,-19.48%,15.27%,6.86%,7.13%,13.02%,7.52%,-
Dividend Yield,0.19%,0.20%,0.16%,1.22%,4.15%,3.70%,2.12%,2.19%,2.09%,-,-
Payout Ratio,1.90%,1.70%,0.40%,6.50%,16.30%,30.70%,875.00%,30.50%,24.80%,0.00%,0.00%
Buyback Yield / Dilution,5.74%,46.34%,1.83%,10.19%,15.15%,3.41%,6.78%,0.83%,-0.42%,-,-
Total Shareholder Return,5.92%,46.54%,1.99%,11.41%,19.30%,7.11%,8.90%,3.02%,1.67%,-,-
