Year,Current,2021
Market Capitalization,90,-
Enterprise Value,91,0
EV/EBITDA Ratio,-,-6.34
EV/EBIT Ratio,-,-6.34
EV/FCF Ratio,-,-0.84
Debt / Equity Ratio,-9.02,70.72
Debt / EBITDA Ratio,-,-14.45
Debt / FCF Ratio,-,-1.92
Current Ratio,0.12,0.38
Earnings Yield,-0.04%,-
