Year,Current,2021
Market Capitalization,300,250
Enterprise Value,300,248
PE Ratio,-,107.50
PB Ratio,-112.98,-10.31
P/FCF Ratio,-,314.73
P/OCF Ratio,-,314.73
EV/EBITDA Ratio,-,106.66
EV/EBIT Ratio,-,106.66
EV/FCF Ratio,-,312.27
Current Ratio,0.71,1.99
Earnings Yield,0.93%,
FCF Yield,0.32%,
Buyback Yield / Dilution,-475.00%,-
Total Shareholder Return,-475.00%,-
